fact_id,candidate_id,subject_entity,metric_id,metric,value,source_id,source_date,confidence,allowed_wording,prohibited_extension
F-0016,P-003,"Щебень гранитный",M02,Freeze_Thaw_Resistance_Score,6,"SRC-P-003-01",2026-09-19,PARTIAL,"Щебень гранитный: Способность материала выдерживать циклы замораживания и оттаивания без разрушения. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0017,P-003,"Щебень гранитный",M03,Water_Absorption_Ratio,6,"SRC-P-003-01",2026-09-19,PARTIAL,"Щебень гранитный: Процентное содержание воды, которое материал способен поглотить. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0018,P-003,"Щебень гранитный",M04,Particle_Size_Uniformity_Index,6,"SRC-P-003-01",2026-09-19,PARTIAL,"Щебень гранитный: Показатель однородности размера частиц для сыпучих материалов. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0019,P-003,"Щебень гранитный",M05,Delivery_Damage_Risk,4,"SRC-P-003-01",2026-09-19,PARTIAL,"Щебень гранитный: Вероятность повреждения товара при транспортировке до конечного потребителя. оценен на 4 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0020,P-003,"Щебень гранитный",M06,Setting_Time_Consistency_Score,6,"SRC-P-003-01",2026-09-19,PARTIAL,"Щебень гранитный: Стабильность времени схватывания бетона при стандартных условиях. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0021,P-003,"Щебень гранитный",M07,Impurity_Content_Penalty,4,"SRC-P-003-01",2026-09-19,PARTIAL,"Щебень гранитный: Штраф за наличие нежелательных примесей в материале, снижающих его качество. оценен на 4 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0022,P-004,"Щебень гравийный",M01,Compressive_Strength_Index,6,"SRC-P-004-01",2026-09-19,PARTIAL,"Щебень гравийный: Показатель прочности материала на сжатие, важный для несущих конструкций. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0023,P-004,"Щебень гравийный",M02,Freeze_Thaw_Resistance_Score,6,"SRC-P-004-01",2026-09-19,PARTIAL,"Щебень гравийный: Способность материала выдерживать циклы замораживания и оттаивания без разрушения. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0024,P-004,"Щебень гравийный",M03,Water_Absorption_Ratio,6,"SRC-P-004-01",2026-09-19,PARTIAL,"Щебень гравийный: Процентное содержание воды, которое материал способен поглотить. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0025,P-004,"Щебень гравийный",M04,Particle_Size_Uniformity_Index,6,"SRC-P-004-01",2026-09-19,PARTIAL,"Щебень гравийный: Показатель однородности размера частиц для сыпучих материалов. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0026,P-004,"Щебень гравийный",M05,Delivery_Damage_Risk,4,"SRC-P-004-01",2026-09-19,PARTIAL,"Щебень гравийный: Вероятность повреждения товара при транспортировке до конечного потребителя. оценен на 4 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0027,P-004,"Щебень гравийный",M06,Setting_Time_Consistency_Score,6,"SRC-P-004-01",2026-09-19,PARTIAL,"Щебень гравийный: Стабильность времени схватывания бетона при стандартных условиях. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0028,P-004,"Щебень гравийный",M07,Impurity_Content_Penalty,4,"SRC-P-004-01",2026-09-19,PARTIAL,"Щебень гравийный: Штраф за наличие нежелательных примесей в материале, снижающих его качество. оценен на 4 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0029,P-005,"Щебень шлаковый",M01,Compressive_Strength_Index,6,"SRC-P-005-01",2026-09-19,PARTIAL,"Щебень шлаковый: Показатель прочности материала на сжатие, важный для несущих конструкций. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0030,P-005,"Щебень шлаковый",M02,Freeze_Thaw_Resistance_Score,6,"SRC-P-005-01",2026-09-19,PARTIAL,"Щебень шлаковый: Способность материала выдерживать циклы замораживания и оттаивания без разрушения. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0031,P-005,"Щебень шлаковый",M03,Water_Absorption_Ratio,6,"SRC-P-005-01",2026-09-19,PARTIAL,"Щебень шлаковый: Процентное содержание воды, которое материал способен поглотить. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0032,P-005,"Щебень шлаковый",M04,Particle_Size_Uniformity_Index,6,"SRC-P-005-01",2026-09-19,PARTIAL,"Щебень шлаковый: Показатель однородности размера частиц для сыпучих материалов. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0033,P-005,"Щебень шлаковый",M05,Delivery_Damage_Risk,4,"SRC-P-005-01",2026-09-19,PARTIAL,"Щебень шлаковый: Вероятность повреждения товара при транспортировке до конечного потребителя. оценен на 4 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0034,P-005,"Щебень шлаковый",M06,Setting_Time_Consistency_Score,6,"SRC-P-005-01",2026-09-19,PARTIAL,"Щебень шлаковый: Стабильность времени схватывания бетона при стандартных условиях. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0035,P-005,"Щебень шлаковый",M07,Impurity_Content_Penalty,4,"SRC-P-005-01",2026-09-19,PARTIAL,"Щебень шлаковый: Штраф за наличие нежелательных примесей в материале, снижающих его качество. оценен на 4 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0036,P-006,"Песок гидронамывной",M01,Compressive_Strength_Index,6,"SRC-P-006-01",2026-09-19,PARTIAL,"Песок гидронамывной: Показатель прочности материала на сжатие, важный для несущих конструкций. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0037,P-006,"Песок гидронамывной",M02,Freeze_Thaw_Resistance_Score,6,"SRC-P-006-01",2026-09-19,PARTIAL,"Песок гидронамывной: Способность материала выдерживать циклы замораживания и оттаивания без разрушения. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0038,P-006,"Песок гидронамывной",M03,Water_Absorption_Ratio,6,"SRC-P-006-01",2026-09-19,PARTIAL,"Песок гидронамывной: Процентное содержание воды, которое материал способен поглотить. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0039,P-006,"Песок гидронамывной",M04,Particle_Size_Uniformity_Index,6,"SRC-P-006-01",2026-09-19,PARTIAL,"Песок гидронамывной: Показатель однородности размера частиц для сыпучих материалов. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0040,P-006,"Песок гидронамывной",M05,Delivery_Damage_Risk,4,"SRC-P-006-01",2026-09-19,PARTIAL,"Песок гидронамывной: Вероятность повреждения товара при транспортировке до конечного потребителя. оценен на 4 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0041,P-006,"Песок гидронамывной",M06,Setting_Time_Consistency_Score,6,"SRC-P-006-01",2026-09-19,PARTIAL,"Песок гидронамывной: Стабильность времени схватывания бетона при стандартных условиях. оценен на 6 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0042,P-006,"Песок гидронамывной",M07,Impurity_Content_Penalty,4,"SRC-P-006-01",2026-09-19,PARTIAL,"Песок гидронамывной: Штраф за наличие нежелательных примесей в материале, снижающих его качество. оценен на 4 из 10 по зафиксированной рубрике","нельзя переносить оценку на другие метрики, периоды и компании группы"
